CaseNo,CaseYr,Address,DateOpened,CaseType,Status,StatusDate,Closed,parcelId,lat,lng
13591209#B-3,2014,1209 MT RUSHMORE WAY #B,2014-07-08,Housing,Closed/Cancelled-No Response from Tenant,2014-07-16,True,20276668,-84.4594298818889,37.981619732486
19013200#901,2014,3200 TODDS RD #901,2014-05-30,Housing,Closed Out,2014-07-16,True,21581250,-84.3086010386834,38.0105171778559
41481040,2014,1040 APPLECROSS DR,2014-04-03,Housing,Closed Out,2014-07-16,True,16269300,-84.5531603305067,38.0291831384068
18751469-3,2014,1469 THAMES DR,2014-07-15,Housing,Invalid Complaint,2014-07-16,True,17204100,-84.4779545786504,37.971864063717
32011821-2,2014,1821 KILKENNY CT,2014-07-08,Housing,Invalid Complaint,2014-07-16,True,11415340,-84.481084039742,38.0889042783109
11660706#2,2013,706 N LIMESTONE #2,2013-12-12,Housing,Closed Out,2014-07-16,True,46316500,-84.4730531596377,38.0636360190822
11660706#2EMER,2013,706 N LIMESTONE #2 EMERGENCY,2013-12-16,Housing,Closed Out,2014-07-16,True,46316500,-84.4730531596377,38.0636360190822
41374793W,2014,4793 WILLMAN WAY,2014-07-16,Nuisance,Invalid Nuisance,2014-07-16,True,20078980,-84.5956148892633,37.9924226196731
12960011W,2014,11 MENTELLE PARK,2014-07-15,Nuisance,Invalid Nuisance,2014-07-16,True,16435575,-84.4783739964832,38.0358477454644
43990588W3,2014,588 BULRUSH TRCE,2014-07-15,Nuisance,Invalid Nuisance,2014-07-16,True,25350800,-84.5327592095781,38.0197975118925
40973701W2,2014,3701 STOLEN HORSE TRCE,2014-07-15,Nuisance,Invalid Nuisance,2014-07-16,True,20084380,-84.5597324748466,38.0093862729832
43854151W,2014,4151 STARRUSH PL,2014-07-15,Nuisance,Invalid Nuisance,2014-07-16,True,19978400,-84.3248168926994,38.0476402815755
00550170W8,2014,170 ARCEME AVE,2014-07-15,Nuisance,Invalid Nuisance,2014-07-16,True,16347000,-84.4755240068606,38.0587525033223
04931049W4,2014,1049 CROSS KEYS RD,2014-07-15,Nuisance,Invalid Nuisance,2014-07-16,True,10793653,-84.5488646220868,38.0389453293658
11360833W,2014,833 LAUREL HILL RD,2014-07-15,Nuisance,Invalid Nuisance,2014-07-16,True,24373600,-84.5356649767702,38.0342587174274
21630814W,2014,814 SHELBY AVE,2014-07-15,Nuisance,Invalid Nuisance,2014-07-16,True,16447000,-84.4689949113141,38.0432355733199
10100266W7,2014,266 JEFFERSON ST,2014-07-11,Nuisance,Invalid Nuisance,2014-07-16,True,15058254,-84.4942299864539,38.0583791193759
11661401W4,2014,1401 N LIMESTONE,2014-07-11,Nuisance,Invalid Nuisance,2014-07-16,True,46316500,-84.4730531596377,38.0636360190822
19890341W14,2014,341 N MARTIN LUTHER KING BLVD,2014-07-11,Nuisance,Invalid Nuisance,2014-07-16,True,16384300,-84.4826068292604,38.0537247919276
18800322W4,2014,322 W THIRD ST,2014-07-11,Nuisance,Invalid Nuisance,2014-07-16,True,12939000,-84.4952199601929,38.0516457945568
12970000SIGNS7,2014,0 MERCER RD,2014-06-25,Nuisance,Invalid Nuisance,2014-07-16,True,10130500,-84.5337839430105,38.0797704323084
17100148W3,2014,148 SHERMAN AVE,2014-06-26,Nuisance,Closed Nuisance,2014-07-16,True,31723200,-84.4754756754244,38.0298936198618
18400137W3,2014,137 SYCAMORE RD,2014-06-25,Nuisance,Closed Nuisance,2014-07-16,True,16000500,-84.4818488972372,38.0292852301876
02050388W2,2014,388 BOB O LINK DR,2014-06-24,Nuisance,Closed Nuisance,2014-07-16,True,10029060,-84.5280765294894,38.03237350989
14300426W2,2014,426 OLDHAM AVE,2014-06-24,Nuisance,Closed Nuisance,2014-07-16,True,16530663,-84.5098022700798,38.0433022400525
18593329W,2014,3329 TATES CREEK RD,2014-06-24,Nuisance,Closed Nuisance,2014-07-16,True,13101800,-84.4942458930538,38.0189997231954
07861901W5,2014,1901 GERALD DR,2014-07-01,Nuisance,Closed Nuisance,2014-07-16,True,10023770,-84.4735802798405,38.0869033407427
12580652W,2014,652 MARSHALL LN,2014-07-01,Nuisance,Closed Nuisance,2014-07-16,True,12535375,-84.4542043539421,38.0882053695737
15682095W8,2014,2095 RAMBLER RD,2014-06-13,Nuisance,Closed Nuisance,2014-07-16,True,11966175,-84.5222232333665,38.0093090207407
03940735W2,2014,735 CHILES AVE,2014-06-23,Nuisance,Closed Nuisance,2014-07-16,True,11345000,-84.4793883057559,38.0392372758036
00980375W9,2014,375 AYLESFORD PL,2014-06-23,Nuisance,Closed Nuisance,2014-07-15,True,10228600,-84.498207812462,38.0367032508824
20693070W,2014,3070 WINDERMERE RD,2014-06-18,Nuisance,Closed Nuisance,2014-07-15,True,10022040,-84.555044184441,38.0126168061379
31940275W3,2014,275 W NEW CIRCLE RD,2014-07-01,Nuisance,Closed Nuisance,2014-07-15,True,38018350,-84.4823227502034,38.0708063174486
05040475W4,2014,475 CURRY AVE,2014-07-02,Nuisance,Closed Nuisance,2014-07-15,True,19987050,-84.410123249902,38.0940070490803
05040459W7,2014,459 CURRY AVE,2014-07-02,Nuisance,Closed Nuisance,2014-07-15,True,14470600,-84.4934317358684,38.0565226746952
00980339W18,2014,339 AYLESFORD PL,2014-06-24,Nuisance,Closed Nuisance,2014-07-15,True,11656400,-84.4970045623586,38.0375422851092
31740285W2,2014,285 SHORESIDE DR,2014-06-24,Nuisance,Closed Nuisance,2014-07-15,True,38009780,-84.5460369377989,38.0901661657867
19634100W3,2014,4100 VICTORIA WAY,2014-06-26,Nuisance,Closed Nuisance,2014-07-15,True,20064000,-84.5230085704127,37.9732482896412
17420260W,2014,260 SOUTHPOINT DR,2014-06-26,Nuisance,Closed Nuisance,2014-07-15,True,26078184,-84.5230428765127,37.9589506182052
17420209W2,2014,209 SOUTHPOINT DR,2014-06-26,Nuisance,Closed Nuisance,2014-07-15,True,26078184,-84.5230428765127,37.9589506182052
17373348W,2014,3348 SMOKY MOUNTAIN DR,2014-06-25,Nuisance,Closed Nuisance,2014-07-15,True,20016400,-84.4533213592369,37.9759869903142
12991190W2,2014,1190 MEREWOOD DR,2014-06-30,Nuisance,Closed Nuisance,2014-07-15,True,20965030,-84.4893110589367,37.97328401098
09090166W2,2014,166 HEDGEWOOD CT,2014-07-09,Nuisance,Invalid Nuisance,2014-07-15,True,17280175,-84.4489966184917,38.0138323120102
09090168W4,2014,168 HEDGEWOOD CT,2014-07-09,Nuisance,Invalid Nuisance,2014-07-15,True,15975600,-84.4490375253587,38.0138711516437
09090172W4,2014,172 HEDGEWOOD CT,2014-07-09,Nuisance,Invalid Nuisance,2014-07-15,True,13810900,-84.449141825575,38.0139713731619
09090179W3,2014,179 HEDGEWOOD CT,2014-07-09,Nuisance,Invalid Nuisance,2014-07-15,True,12791900,-84.4489677815947,38.0143392817642
09090181W6,2014,181 HEDGEWOOD CT,2014-07-09,Nuisance,Invalid Nuisance,2014-07-15,True,12870600,-84.4490393244646,38.0143531133933
09090183W2,2014,183 HEDGEWOOD CT,2014-07-09,Nuisance,Invalid Nuisance,2014-07-15,True,15598525,-84.4491230743982,38.0143694406657
09090187W2,2014,187 HEDGEWOOD CT,2014-07-09,Nuisance,Invalid Nuisance,2014-07-15,True,15437300,-84.4493662502934,38.0144158006838
09090224W2,2014,224 HEDGEWOOD CT,2014-07-09,Nuisance,Invalid Nuisance,2014-07-15,True,11722400,-84.4496038921047,38.0138227642907
